,user,business_id,business_name,address,city,state,postal_code,stars,hyperlink,Model
0,Teresa,UfNta35H6m-z2xN9XFI77g,House of Thai Cuisine,3520 Cottman Ave,Philadelphia,PA,19149.0,4.5,https://storage.googleapis.com/2024capstone51/photos/4unSVbGBuku7ftKw8xpl4Q.jpg,Colaborative Filtering
1,Teresa,h85b3MFPWyaopMBy8DpBpA,Ron's Caribbean Cuisine,5726 N Broad St,Philadelphia,PA,19141.0,4.0,https://storage.googleapis.com/2024capstone51/photos/hwhXDKFgUE7pYj35xHMGug.jpg,Colaborative Filtering
2,Teresa,KDplhtRYnHOCnuIjIGR8fA,The Goat's Beard,4201 Main St,Philadelphia,PA,19127.0,4.0,https://storage.googleapis.com/2024capstone51/photos/w4slCXUHQx16iQ1XLVnqRA.jpg,Colaborative Filtering
3,Doug,30cpm1uq6xcQCmN6JTrB8w,Luke's Lobster Rittenhouse,130 S 17th St,Philadelphia,PA,19103.0,4.5,https://storage.googleapis.com/2024capstone51/photos/kp7fElitnsGUoe2iFmGHnQ.jpg,Colaborative Filtering
4,Doug,lRbHFOIFuusN2WOR_ypQ_A,Ants Pants Café,2212 S St,Philadelphia,PA,19146.0,4.0,https://storage.googleapis.com/2024capstone51/photos/u5QWmL7_r_SS2v0AX2ntYA.jpg,Colaborative Filtering
5,Doug,0KEMPs7BD_WHI6zGpDcKjw,Food & Friends,1933 Spruce St,Philadelphia,PA,19103.0,4.0,https://storage.googleapis.com/2024capstone51/photos/UE5g0CS9MI44yurl0wfbew.jpg,Colaborative Filtering
6,Doug,qRgeV1CMZawRblc2qjHo_g,El Jarocho,1138 S 13th St,Philadelphia,PA,19147.0,4.0,https://storage.googleapis.com/2024capstone51/photos/9IJE2z8gy4UcSUyF0p4FeA.jpg,Colaborative Filtering
7,N,rdDC5Ts8NZjuGHJn4bqMAQ,Cogito Coffee,105 S 12th St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/Zb2Prf03hrnIOW1TyRjjSQ.jpg,Colaborative Filtering
8,N,vVfy055EfLMdd0yJYHxiMQ,A La Mousse,145 N 11th St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/oEGO3M-d8t-RTHKFvosB7A.jpg,Colaborative Filtering
9,N,vUrTGX_7HxqeoQ_6QCVz6g,Suraya,1528 Frankford Ave,Philadelphia,PA,19125.0,4.5,https://storage.googleapis.com/2024capstone51/photos/7_88I8QFja0vC_JrwCSoAQ.jpg,Colaborative Filtering
10,N,i_FWONQD1ZBqrNE2b-M5Ug,Talula's Garden,210 W Washington Sq,Philadelphia,PA,19106.0,4.5,https://storage.googleapis.com/2024capstone51/photos/rZE_v7jJhPWpNY2kKDvQUA.jpg,Colaborative Filtering
11,N,O17dm8a_hU8zc3gAYkAK-A,Ken Love's BYOB,701 N 3rd St,Philadelphia,PA,19123.0,4.5,https://storage.googleapis.com/2024capstone51/photos/B452bbk8xX6WEj0q2KVEpw.jpg,Colaborative Filtering
12,N,yCUQ6csyVOR9krwQH9RIbQ,Haveli Virasat,4051 Market St,Philadelphia,PA,19104.0,4.5,https://storage.googleapis.com/2024capstone51/photos/v6ccpOaW5yD5T0v1MY_0dg.jpg,Colaborative Filtering
13,N,8P8HIysyyGbG8_94cG1Jyg,Entree BYOB,1608 South St,Philadelphia,PA,19146.0,4.5,https://storage.googleapis.com/2024capstone51/photos/PQC4aocWTfCxHyyC8Gbd7w.jpg,Colaborative Filtering
14,N,OAWa1WML2V1ZLJGD6V3nBQ,Middle Child,248 S 11th St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/V5DeaYsMc6UedBDpoKDQJQ.jpg,Colaborative Filtering
15,Rory,x3zNWk1qwG_KArQe-h0CYA,Health Meals By Anna,"352 Second St Pike, Ste 290",Southampton,PA,18966.0,5.0,https://storage.googleapis.com/2024capstone51/photos/6xSohRmbzsA8Q_axLxyxZg.jpg,Colaborative Filtering
16,Rory,1wa8RxjmRoz5k3fm-pE6vg,CAVA,"40 Coulter Ave, Ste 175",Ardmore,PA,19003.0,4.5,https://storage.googleapis.com/2024capstone51/photos/taV4IrzNcIyhYRDBPq_Twg.jpg,Colaborative Filtering
17,Rory,aA-6urKmmlZw9STPOHZNCg,up-RYES Bagel & Deli,22 N Bryn Mawr Ave,Bryn Mawr,PA,19010.0,4.0,https://storage.googleapis.com/2024capstone51/photos/lKktJkp5rBeJ8CD360Fp1w.jpg,Colaborative Filtering
18,Rory,zBT8l6b3wE_H541Msvg4Wg,Mama's Pizzeria,426 Belmont Ave,Bala Cynwyd,PA,19004.0,4.0,https://storage.googleapis.com/2024capstone51/photos/RwYUj6x6HM-pmki7eE4MQA.jpg,Colaborative Filtering
19,Rory,T2NZEKXgfTIPothJrLyz2A,Bella Italia,12 E Lancaster Ave,Ardmore,PA,19003.0,3.5,https://storage.googleapis.com/2024capstone51/photos/h_vCTDY9BoIxnsla2vXqOA.jpg,Colaborative Filtering
20,Lindsey,9YvxONmuEP-IXIFRrMCgSA,Sabor Puebla Taqueria & Cafe,1715 Mount Ephraim Ave,Camden,NJ,8104.0,5.0,https://storage.googleapis.com/2024capstone51/photos/wyfc5mbfedq1FGHsRszcGg.jpg,Colaborative Filtering
21,Lindsey,zZQ8Hu2c8hqsJ0Xti20HAw,Freddy's Restaurant,3200 Westfield Ave,Camden,NJ,8105.0,4.5,https://storage.googleapis.com/2024capstone51/photos/fcd0ImgIDThAv4jxihkluw.jpg,Colaborative Filtering
22,Lindsey,vhar8sfBN37RE13z9CXNEQ,Leaf,6 Kings Ct,Haddonfield,NJ,8033.0,4.5,https://storage.googleapis.com/2024capstone51/photos/pWO7awuKNXSM9gVqSseU7w.jpg,Colaborative Filtering
23,Lindsey,NyqI81Wx_d16I357OSLQ1Q,Burger Bar,3334 Federal St,Camden,NJ,8105.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
24,Lindsey,-xY4R0jVwIDlpFx_CcZ4XA,Art's Deli,36 N Broadway,Gloucester City,NJ,8030.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
25,Lindsey,RjWDssHiZfiB8ATazk-2dw,China Cook Express,"711 Evesham Ave, Ste 15",Somerdale,NJ,8083.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
26,Lindsey,PJjkH_VZeQwxEJvlQ-v7wA,Pho 75,1122 Washington Ave,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/2PqUGAxLa7ctWHgPXi1WRg.jpg,Colaborative Filtering
27,Lindsey,LBqAH3KQEuLX5XIWLjBGnQ,Pho 9,1200 Haddonfield Rd,Cherry Hill,NJ,8002.0,4.0,https://storage.googleapis.com/2024capstone51/photos/OPLNGyaiEDzcVVwd1UbLXQ.jpg,Colaborative Filtering
28,Rula,hYs3ioWpQr-WwV9nRD5lAg,Apple Walnut Café,2924 West Chester Pike,Broomall,PA,19008.0,4.5,https://storage.googleapis.com/2024capstone51/photos/8l78kb1buDSGePSA6OGfyg.jpg,Colaborative Filtering
29,Rula,kRvZUnDK3Rn7a7WvGUZ6QQ,The Original Clam Tavern,339 E Broadway Ave,Clifton Heights,PA,19018.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
30,Rula,jc6PRKXaOwQeKtQGXoG76Q,The Shake Seafood,"2141 Cottman Ave, Unit D",Philadelphia,PA,19149.0,4.0,https://storage.googleapis.com/2024capstone51/photos/SWbnDfFLz8dmbR4BJyFrtA.jpg,Colaborative Filtering
31,Rula,EjwY66v3wVP8F9ZBcJnIVQ,Mission BBQ,601 W Germantown Pike,Plymouth Meeting,PA,19462.0,4.0,https://storage.googleapis.com/2024capstone51/photos/M7W1lo6B1pxF697L9Lg4rg.jpg,Colaborative Filtering
32,Rula,poviu-6n3iaRE4gdQz6OYw,Oyster House,1516 Sansom St,Philadelphia,PA,19102.0,4.0,https://storage.googleapis.com/2024capstone51/photos/izcQc4Gm72QmnJLRWMfIcQ.jpg,Colaborative Filtering
33,Rula,K83AQ_2U1Fuf_TIF-fRRXg,Kung Fu Tea,13 N 32nd St,Philadelphia,PA,19104.0,4.0,https://storage.googleapis.com/2024capstone51/photos/a60tlBCZK1oRHBg3P8XoJw.jpg,Colaborative Filtering
34,Rula,tMtI6ECD6hwM-nFp2kXLKQ,Tea Do,132 N 10th St,Philadelphia,PA,19107.0,4.0,https://storage.googleapis.com/2024capstone51/photos/Q21h_-xSqatd3pRt-GOLgw.jpg,Colaborative Filtering
35,Rula,qoHgAxwNTiNCli9d7RQl2w,Sweet Charlie's,1921 Walnut St,Philadelphia,PA,19103.0,3.5,https://storage.googleapis.com/2024capstone51/photos/C-Nle-3n4CbmLmXEb6-ERA.jpg,Colaborative Filtering
36,Christina,Dh65GRW4FmOEjDv_UuPP4A,Kitchen 519,200 E Evesham Rd,Glendora,NJ,8029.0,4.5,https://storage.googleapis.com/2024capstone51/photos/IUIAY6c1dggplCtBecCBAw.jpg,Colaborative Filtering
37,Christina,hX_8ZUmIqWFWzjdiPrf23w,Termini Bros Bakery,1523 S 8th St,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/t9Jnjkju6iIuq_95N7LwJQ.jpg,Colaborative Filtering
38,Christina,sQhh7JCGpqNgf0hHWc4m8g,On Point Bistro,1200 Point Breeze Ave,Philadelphia,PA,19146.0,4.5,https://storage.googleapis.com/2024capstone51/photos/7PLErLx6bzdeeFNRhqSVkA.jpg,Colaborative Filtering
39,Christina,QDJO9PzZ82tU4rlzzOFRSw,Benash Liquor Store,2405 Rt 38,Cherry Hill,NJ,8002.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
40,Christina,ywY6VeKUaYSZ5geR3nxU5Q,Keystone Homebrew Supply,435 Doylestown Pk,Montgomeryville,PA,18936.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
41,Christina,03jQGGJ2ch0uHTtW-UUUqg,Famous 4th Street Delicatessen,700 S 4th St,Philadelphia,PA,19147.0,4.0,https://storage.googleapis.com/2024capstone51/photos/elU2J48jvsV9_X1hO8X2tw.jpg,Colaborative Filtering
42,Christina,S9IFCU4FKCqEriV1Rr2ZcA,Race Street Cafe,208 Race St,Philadelphia,PA,19106.0,4.0,https://storage.googleapis.com/2024capstone51/photos/3JAFXnUtPXRWMGSCL3LwaQ.jpg,Colaborative Filtering
43,Christina,oDlF5bfcQrYkjK4D4_Nw9A,Fitzwater Cafe,728 S 7th St,Philadelphia,PA,19147.0,4.0,https://storage.googleapis.com/2024capstone51/photos/MRfpfyX8NysDp17Liaw22g.jpg,Colaborative Filtering
44,Jamie,IWqQjclp1fxK3vuqs5nNzA,Bread Top House,1041 Race St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/QbArALC00n9p6xUstXG6kg.jpg,Colaborative Filtering
45,Jamie,Idjv5ldTN-4Q7QseD46AOw,Mango's Cafe,200 Larchmont Blvd,Mt Laurel,NJ,8054.0,4.0,https://storage.googleapis.com/2024capstone51/photos/hJuufsHW60k4Q8SIlWiQPg.jpg,Colaborative Filtering
46,Jamie,q-zV08jt6U-q05SMEuQJAQ,The Original Tony Lukes,39 E Oregon Ave,Philadelphia,PA,19148.0,4.0,https://storage.googleapis.com/2024capstone51/photos/qqPrdCAh7KU3FqK7KsR-oA.jpg,Colaborative Filtering
47,Jamie,_n2TZLOgOPOQZ95sz9QsYQ,Lim Fong's Delight,33 W Hampton St,Pemberton,NJ,8068.0,4.0,https://storage.googleapis.com/2024capstone51/photos/aFmPIMq7VE9m7xRf8acBeQ.jpg,Colaborative Filtering
48,Jamie,t7lXDRAytv_pq5FLWSxtaQ,H Mart - Cherry Hill,1720 Rt. 70 East.,Cherry Hill,NJ,8003.0,4.0,https://storage.googleapis.com/2024capstone51/photos/_WSwXfgx0m4zAiFMXFAXig.jpg,Colaborative Filtering
49,Jamie,wb_z1h7XR5IQhVRZHlMuLQ,Redstone American Grill,500 Rte 73 S,Marlton,NJ,8053.0,4.0,https://storage.googleapis.com/2024capstone51/photos/EEZFDVgQfurmXWPLSqunaA.jpg,Colaborative Filtering
50,Jamie,eaDZlSuVS0EY67Ke6pRP6Q,Penang,117 N 10th St,Philadelphia,PA,19107.0,3.5,https://storage.googleapis.com/2024capstone51/photos/hh1fp0Tw0cWs9chQEdY1Ew.jpg,Colaborative Filtering
51,Jamie,vUkiYPpbkMXA99WneLSGkQ,Banana Leaf,1009 Arch St,Philadelphia,PA,19107.0,3.5,https://storage.googleapis.com/2024capstone51/photos/_ykVEalZUlGXm7e33326fA.jpg,Colaborative Filtering
52,Michael,dMICIsutjLi0FOzgduuvug,Umi Japanese Cuisine,11 N White Horse Pike,Somerdale,NJ,8083.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
53,Michael,RuPk-ScXo4ycpdnAkpfoNg,Mr Sushi All You Can Eat,2117 Marlton Pike W,Cherry Hill,NJ,8002.0,4.0,https://storage.googleapis.com/2024capstone51/photos/sG30kpBOoQAN7ECzrvq48Q.jpg,Colaborative Filtering
54,Abraham,XJvOamdhTQI65jmzTfreDQ,Fante's Kitchen Shop,1006 S 9th St,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/yUcrDwAN0-jYRjNFdCopmw.jpg,Colaborative Filtering
55,Abraham,OHzX-ZD9qyoeoxR8Z0dlIA,Khyber Pass Pub,56 S 2nd St,Philadelphia,PA,19106.0,4.0,https://storage.googleapis.com/2024capstone51/photos/OyhDtoLDD640BGlJGGIkug.jpg,Colaborative Filtering
56,Abraham,cXSyVvOr9YRN9diDkaWs0Q,Honey's Sit-N-Eat,800 N 4th St,Philadelphia,PA,19123.0,4.0,https://storage.googleapis.com/2024capstone51/photos/XG77mRleu53Tb4kE0n2HSQ.jpg,Colaborative Filtering
57,Abraham,YN4Kk751tmdvoarGo8z7_A,New Delhi Indian Restaurant,4004 Chestnut St,Philadelphia,PA,19104.0,4.0,https://storage.googleapis.com/2024capstone51/photos/M2o19X6I8yoO5bfVr9aJZg.jpg,Colaborative Filtering
58,Abraham,6x9hcZ1CJ4S9avBgPGS7-Q,Johnny Brenda's,1201 Frankford Ave,Philadelphia,PA,19125.0,4.0,https://storage.googleapis.com/2024capstone51/photos/jyQ730rGElYqnVxD7wVw8Q.jpg,Colaborative Filtering
59,Abraham,73UjNbSoQjQAOS45rcihFg,Cantina Dos Segundos,931 N 2nd St,Philadelphia,PA,19123.0,4.0,https://storage.googleapis.com/2024capstone51/photos/QmKS7GZ9OMurDd24HRvoFQ.jpg,Colaborative Filtering
60,Abraham,sL6fC0P4C-gyL4E5gacUeQ,Lazaro's Pizzeria & Grill,1743 South St,Philadelphia,PA,19146.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
61,Abraham,rYqmaOIULRouz_1db07OdQ,Green Eggs Cafe,1306 Dickinson St,Philadelphia,PA,19147.0,4.0,https://storage.googleapis.com/2024capstone51/photos/YBs9t9c28Nh8fi_7mYB3TA.jpg,Colaborative Filtering
62,Ju,_V6hl1oGkTV2KbGeax_HPA,Sang Kee Peking Duck House,238 N 9th St,Philadelphia,PA,19107.0,4.0,https://storage.googleapis.com/2024capstone51/photos/XjSr8WlM4kdRjGlru_D7zw.jpg,Colaborative Filtering
63,Ju,NABcZKRWQF9-rDVt0P0bhw,Ocean City,234 N 9th St,Philadelphia,PA,19107.0,3.0,https://storage.googleapis.com/2024capstone51/photos/EDzjTbbgGxaukkxBVmoRLQ.jpg,Colaborative Filtering
64,Alix,Bmoc9P_qcjuPvVzwOWIXJg,King of Pizza,3633 Germantown Ave,Philadelphia,PA,19140.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
65,Alix,ytynqOUb3hjKeJfRj5Tshw,Reading Terminal Market,51 N 12th St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/b8LFU1fOMy686GdFp8BXlg.jpg,Colaborative Filtering
66,Alix,gihNKyt5d6lIZQem2r12Lw,Giunta's Prime Shop,1100 Filbert St,Philadelphia,PA,19107.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
67,Alix,9c7MUiE6VI8NesjPdj5FkA,Bubblefish,909 Arch St,Philadelphia,PA,19107.0,4.0,https://storage.googleapis.com/2024capstone51/photos/kZaGyksI-BfpPtF9xZUh2Q.jpg,Colaborative Filtering
68,Alix,fUmXHW1iM5WUvdUuz1BxIQ,Bella's Breakfast & Lunch,2159 Ridge Ave,Philadelphia,PA,19121.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
69,Alix,qwmlqH4blnTNTFDhUaCBXw,Peddler's Village,64 Peddlers Village,Lahaska,PA,18931.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Colaborative Filtering
70,Alix,ZTD_xSBxv07aa5fFsYwTEA,Vito's Pizza & Grill,2821 N Broad St,Philadelphia,PA,19132.0,2.5,https://storage.googleapis.com/2024capstone51/photos/Id8yByG6Vyd1DVSQkYV-3g.jpg,Colaborative Filtering
71,Alix,Gr6nYrQ_-3p4LcE4M84lTw,Dave & Buster's,325 N Christopher Columbus Blvd,Philadelphia,PA,19106.0,2.5,https://storage.googleapis.com/2024capstone51/photos/qocqqZJEYgGiUBbVcAcj2Q.jpg,Colaborative Filtering
0,Dan,lRj_1nDUCdXS3LVSrg9vfQ,MAIDO! A Marketplace of Japan,5 E Lancaster Ave,Ardmore,PA,19003.0,4.0,https://storage.googleapis.com/2024capstone51/photos/JX8lweGz-e1ZpwjpyyfPoA.jpg,Content Recommendation
1,Dan,SIoCIxjn4jLt2O-4DajWJw,Mac's Tavern,226 Market St,Philadelphia,PA,19106.0,3.5,https://storage.googleapis.com/2024capstone51/photos/9t9_hC-pYBImBxYfhqIWKA.jpg,Content Recommendation
2,Dan,BCZX5Z3SFVvozkn3AP-kOw,Melody's Casual Vietnamese,47 E Butler Ave,Ambler,PA,19002.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
3,Dan,qxRTFagnexBZgDe055CjkQ,Seasons 52,"160 N Gulph Rd, Ste 101",King of Prussia,PA,19406.0,4.0,https://storage.googleapis.com/2024capstone51/photos/Kuf3T0xGAaSy5ssTnlxsug.jpg,Content Recommendation
4,Dan,FzlwYkW9HzZ2PFDxxpcfew,Trios Tomato Pie,402 N Easton Rd,Glenside,PA,19038.0,4.0,https://storage.googleapis.com/2024capstone51/photos/jO1aOZ_jcGjIWr1MRZdypg.jpg,Content Recommendation
5,Dan,66Xlt-k1ZhVVq1ql6fX30A,Knishes & Dishes,545-547 Germantown Pike,Lafayette Hill,PA,19444.0,3.5,https://storage.googleapis.com/2024capstone51/photos/oxk2i1N7_nQ82nxt7tszvA.jpg,Content Recommendation
6,Dan,QtST1igZAi0q9LxJr6srIQ,Pearl's Oyster Bar,51 N 12th St,Philadelphia,PA,19107.0,4.0,https://storage.googleapis.com/2024capstone51/photos/ELC_ewt1um-di7SGmrPCNQ.jpg,Content Recommendation
7,Dan,CcKb0khFEMbVMSCjBYNMhA,Bucks County Seafood,164 N Main St,Dublin,PA,18917.0,4.5,https://storage.googleapis.com/2024capstone51/photos/WizIyyZ-4GIZWOrLOfghtQ.jpg,Content Recommendation
8,Karen,5v9Voa4a5MON7mAQO3gV3A,Montesano Bros Trattoria & Catering,55 Seaboldt Way,Chester Springs,PA,19425.0,4.5,https://storage.googleapis.com/2024capstone51/photos/sHwm3sX0sdmGj8W4ha0OFg.jpg,Content Recommendation
9,Karen,G42OqzStFgno8a0mY_w06g,FruitFlowers,1 Summit Ave,Broomall,PA,19008.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
10,Karen,c0NtT86jsumfH2gJ-1Vjig,Naked Brewing,51 Buck Rd,Huntingdon Valley,PA,19006.0,4.5,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
11,Karen,SOxWs2-rjrQIfqib7tRqpg,El Cactus,710 Rte 113,Souderton,PA,18964.0,4.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
12,Karen,JUVtr9lqM1dCaiLPFPCeBw,Daydreams Gentlemen's Club,5200 Unruh Ave,Philadelphia,PA,19135.0,3.5,https://storage.googleapis.com/2024capstone51/photos/jQuxeUDWeYGiiQSAFeV2zQ.jpg,Content Recommendation
13,Karen,Vsb_640TQac9M47IYuCeTg,Cutone Mario Mushrooms,,Avondale,PA,19311.0,5.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
14,Karen,q9WA6PqTLnB78DWPu5YJ5A,Perla,1535 S 11th St,Philadelphia,PA,19147.0,4.5,https://storage.googleapis.com/2024capstone51/photos/V2m3NmsV4CGMTdiU4hYCdw.jpg,Content Recommendation
15,Karen,fnO03-RX7UDC1TzXETWEsQ,Pinocchio's Restaurant,131 E Baltimore Ave,Media,PA,19063.0,3.5,https://storage.googleapis.com/2024capstone51/photos/aR9ngQYEcDM0-I8woV82aA.jpg,Content Recommendation
16,Stephen,Rg4TiemxYLiYm61UrQUfrA,The Hedgehog Grill,,King of Prussia,PA,19406.0,5.0,https://storage.googleapis.com/2024capstone51/photos/missing.jpg,Content Recommendation
17,Stephen,4hv1n1VBzMvE-T4UtIcOcw,Di Bruno Bros.,1730 Chestnut St,Philadelphia,PA,19103.0,4.0,https://storage.googleapis.com/2024capstone51/photos/1UQSkpDqMx0Dp3SYvZ3WNw.jpg,Content Recommendation
